food_id,alias,alias_type,language
food_160226d4,black rice kheer,primary,en
food_160226d4,chak-hao kheer,regional,hi
food_2fa6ea1f,blackberries,primary,en
food_ce86eb5d,blue cheese,primary,en
food_9fc24df5,blue cheese dressing,primary,en
food_2364c64a,blueberries,primary,en
food_572a7016,bobbatlu,primary,en
food_27b48c51,bobotie,primary,en
food_2dcf0f73,boiled egg,primary,en
food_2dcf0f73,ubla anda,regional,hi
food_b51e5ac0,boiled rice,primary,en
food_b51e5ac0,uble chawal,regional,hi
food_489bac08,bok choy,primary,en
food_be045cea,bombay duck fry,primary,en
food_52f42cb7,bombil fry,primary,en
food_2aed37a9,bonda,primary,en
food_0564a014,boondi raita,primary,en
food_f5705272,bora saul payas,primary,en
food_d50551d4,bora sawul,primary,en
food_f899be05,boti kebab,primary,en
food_428cf438,bottle gourd burfi,primary,en
food_428cf438,ghiya/lauki burfi,regional,hi
food_053116ee,bottle gourd kheer,primary,en
food_053116ee,ghiya/lauki kheer,regional,hi
food_143f89e6,bottle gourd raita,primary,en
food_143f89e6,ghiya/lauki ka raita,regional,hi
food_47b61781,bottle gourd soup,primary,en
food_47b61781,ghiya/lauki soup,regional,hi
food_280a93b4,bread and butter pudding,primary,en
food_592bc123,bread pakora,primary,en
food_cc6971e6,bread pakora/pakoda,primary,en
food_927cb281,bread roll,primary,en
food_54b3c004,bread sauce,primary,en
food_f586f60e,bread upma,primary,en
food_4668971c,breadcrumbs,primary,en
food_ddbd4cb9,breadstick,primary,en
food_1b081778,brie cheese,primary,en
food_a97b8029,brinjal bhartha,primary,en
food_a97b8029,baingan ka bhartha,regional,hi
food_3f7373c1,brinjal pickle,primary,en
food_3f7373c1,baingan ka achaar,regional,hi
food_3f3770c7,broccoli chicken ala king,primary,en
food_e854a052,broccoli delight,primary,en
food_926d0a2a,brown rice,primary,en
food_b45064c0,brown sauce,primary,en
food_208ce7b4,brown stock,primary,en
food_0d3bd965,bruschetta,primary,en
food_7813b170,bubble tea,primary,en
food_f21ff810,buckwheat pancake,primary,en
food_f21ff810,khura,regional,hi
food_5aee2775,bulgur,primary,en
food_ec597a91,bun,primary,en
food_6350982b,burger,primary,en
food_6a11c050,butter,primary,en
food_5843291e,butter chicken,primary,en
food_a8c123e7,butter icing,primary,en
food_1cd74f94,butterfly biscuit,primary,en
food_7315941e,buttermilk biscuit,primary,en
food_a108a9cb,cabbage and peas,primary,en
food_a108a9cb,pattagobhi aur matar,regional,hi
food_eaf10d92,cabbage kheer,primary,en
food_eaf10d92,pattagobhi ki kheer,regional,hi
food_5e9207a9,cabbage kofta curry,primary,en
food_5e9207a9,pattagobhi kofta curry,regional,hi
food_a90e9a26,cabbage manchurian,primary,en
food_a90e9a26,pattagobhi manchurian,regional,hi
food_2b29cd9e,cabbage raita,primary,en
food_2b29cd9e,pattagobhi raita,regional,hi
food_ac52cd31,cabbage rolls,primary,en
food_85c4125d,rajma rice,regional,en
food_e22510a5,veg biryani,primary,en
food_3fc108be,bhindi nu shaak,regional,gu
food_3fc108be,bhindi nu shak,regional,gu
food_3fc108be,bhindi sabji,regional,hi
food_3fc108be,bhindi sabzi,regional,hi
food_39caefa7,cabbage slaw,primary,en
food_ccf734ac,cacio e pepe,primary,en
food_da854a01,caesar salad,primary,en
food_4a5c11da,cajun chicken,primary,en
food_4376bf3e,calamari,primary,en
food_e2530fb2,campari,primary,en
food_954eb04a,campari & soda,primary,en
food_46e8a7c7,canadian bacon,primary,en
food_976b885e,candied fruit,primary,en
food_147d463f,canjee,primary,en
food_79bbef8a,cannellini beans,primary,en
food_00210fd8,cannoli,primary,en
food_616592e6,capers,primary,en
food_358a42ad,caponata,primary,en
food_e9397a36,caprese salad,primary,en
food_ab6bdab2,caramel custard,primary,en
food_ab6bdab2,steamed,regional,hi
food_ab6bdab2,baked,regional,hi
food_8b540b61,caramel ice cream,primary,en
food_8847889d,caramel sauce,primary,en
food_5f635d64,carbonara,primary,en
food_bbdf08e4,cardamom,primary,en
food_d928b8ba,cardamom cookies,primary,en
food_d928b8ba,elaichi cookies,regional,hi
food_c658790d,carrot,primary,en
food_be2ee2c4,carrot and cabbage with coconut,primary,en
food_be2ee2c4,nariyal ke saath pattagobhi aur gajar,regional,hi
food_44784ebb,carrot and fenugreek leaves,primary,en
food_44784ebb,gajar methi,regional,hi
food_7419814a,carrot and spinach raita,primary,en
food_7419814a,gajar aur palak ka raita,regional,hi
food_b8ec487a,carrot apple sandwich,primary,en
food_b8ec487a,gajar aur seb ka sandwich,regional,hi
food_b8dbdae4,carrot cake,primary,en
food_b8dbdae4,gajar ka cake,regional,hi
food_4a0fc6f3,carrot halwa,primary,en
food_4a0fc6f3,gajar ka halwa,regional,hi
food_7c1b3b78,carrot kheer,primary,en
food_7c1b3b78,gajar ki kheer,regional,hi
food_79cca756,carrot murabba,primary,en
food_79cca756,gajar ka murabba,regional,hi
food_c1f5aad7,carrot raita,primary,en
food_c1f5aad7,gajar ka raita,regional,hi
food_caeffb20,carrot sticks,primary,en
food_9b5dd951,cashewnut burfi,primary,en
food_9b5dd951,kaju burfi/kaju katli,regional,hi
food_6534554f,cashews,primary,en
food_3541f61d,cauliflower au gratin,primary,en
food_fefb5f11,cauliflower basket,primary,en
food_5b61a412,cauliflower canjee,primary,en
food_5b61a412,phoolgobhi ki canjee,regional,hi
food_d2539a5a,cauliflower kheer,primary,en
food_d2539a5a,phoolgobhi ki kheer,regional,hi
food_6143e217,cauliflower kofta curry,primary,en
food_6143e217,phoolgobhi kofta curry,regional,hi
food_4ec52828,cauliflower musallam,primary,en
food_4ec52828,phoolgobhi musallam,regional,hi
food_e18b18c0,cauliflower pakora/pakoda,primary,en
food_e18b18c0,phoolgobhi ke pakode,regional,hi
food_8cc769c2,cauliflower parantha/paratha,primary,en
food_8cc769c2,phoolgobhi ka parantha/paratha,regional,hi
food_d09d68f3,cauliflower potato canjee,primary,en
food_14aa6d5c,cauliflower with coconut,primary,en
food_14aa6d5c,nariyal ke saath phoolgobhi,regional,hi
food_74ec1084,"cauliflower, pea and potato bhujia",primary,en
food_74ec1084,phoolgobhi,regional,hi
food_74ec1084,matar aur aloo bhujia,regional,hi
food_330c4bc5,celery,primary,en
food_6c7eec50,celery sticks,primary,en
food_4b9be161,century egg,primary,en
food_3b66caa7,cereal,primary,en
food_631ad096,cereal bar,primary,en
food_9816eb66,cereal mix,primary,en
food_a15382a9,cereal pulse mix with amylase rice flour,primary,en
food_67da7f62,ceviche,primary,en
food_a189474e,chaat,primary,en
food_5714af7e,chai latte,primary,en
food_25676b1c,chainsoo,primary,en
food_8e561b7e,chak hao,primary,en
food_1f4512e0,chak-hao kheer,primary,en
food_359eb8e0,chakhwi,primary,en
food_2fb81e30,chakri,primary,en
food_21595ac4,chamthong,primary,en
food_7ce3810a,chana dal fara,primary,en
food_844ea84e,chana ghugni,primary,en
food_a2bc2e06,chana masala,primary,en
food_dfd95d55,channa murmura premix,primary,en
food_096cfd3c,chapati,primary,en
food_e1ebe936,chapati/roti,primary,en
food_4bc50a56,charlotte rousse,primary,en
food_debf837d,chat masala,primary,en
food_3e01a67f,chausela,primary,en
food_3d315ca1,checker board sandwich,primary,en
food_bc87b9ab,cheddar cheese,primary,en
food_813708dc,cheera doi,primary,en
food_6efdf30a,cheese and chilli sandwich,primary,en
food_0872e59c,cheese and mushroom omelette/omlet,primary,en
food_93f40e89,cheese and mushroom tart,primary,en
food_1e9f509e,cheese and pineapple sandwich,primary,en
food_1e9f509e,cheese aur ananas ka sandwich,regional,hi
food_546ae9b5,cheese and tomato pancake,primary,en
food_c411e151,cheese and tomato sandwich,primary,en
food_c411e151,cheese aur tamatar ke sandwich,regional,hi
food_c411e151,toasted,regional,hi
food_52eba4e1,cheese balls,primary,en
food_b8a93d3e,cheese danish,primary,en
food_3d643c2c,cheese noodle ring,primary,en
food_d6e6d9a7,cheese open sandwich,primary,en
food_d51900cc,cheese patties,primary,en
food_6a62d94b,cheese pizza,primary,en
food_d002404f,cheese pudding,primary,en
food_eef4bb72,cheese sauce,primary,en
food_e006bb17,cheese soup,primary,en
food_3ec9024b,cheese straws,primary,en
food_13b6f2cb,cheese toast,primary,en
